Order ID,Order Date,Ship Date,Order Priority,Country Code,Product ID,Sales Channel,Units Sold,Unit Price,Unit Cost
100640618,10/8/2014,10/18/2014,M,NOR,2103,Online,650,205.7,117.11
100983083,8/11/2016,8/11/2016,C,SRB,2103,Offline,1993,205.7,117.11
101025998,7/18/2014,8/11/2014,M,#N/A,7940,Online,4693,668.27,502.54
102230632,5/13/2017,6/13/2017,L,MNE,2455,Online,1171,109.28,35.84
103435266,8/11/2012,9/18/2012,H,SRB,1270,Offline,7648,47.45,31.79
103450715,3/15/2015,4/18/2015,H,SVK,8681,Online,2220,651.21,524.96
103499639,4/20/2013,6/6/2013,L,FRA,4594,Online,6698,9.33,6.92
103762280,11/12/2011,12/14/2011,M,ESP,5988,Online,4419,154.06,90.93
103832662,9/19/2012,10/20/2012,H,HRV,7331,Offline,5247,255.28,159.42
104008615,1/23/2011,2/22/2011,M,DEU,2103,Online,7315,205.7,117.11
104165685,2/19/2012,3/6/2012,L,ARM,7940,Online,3796,668.27,502.54
104190576,2/22/2017,3/12/2017,C,GEO,8875,Offline,1162,421.89,364.69
104245078,3/27/2013,4/21/2013,M,GBR,4594,Offline,7290,9.33,6.92
104548490,1/1/2014,1/5/2014,M,#N/A,7331,Online,7076,255.28,159.42
105030000,6/2/2016,6/13/2016,C,SVN,2455,Offline,9566,109.28,35.84
107651269,10/28/2013,11/11/2013,M,HRV,7940,Online,5258,668.27,502.54
108407437,2/19/2015,3/27/2015,C,ROU,7331,Offline,9025,255.28,159.42
109914195,3/12/2012,4/16/2012,M,POL,2455,Offline,4908,109.28,35.84
111063039,5/26/2012,7/13/2012,L,LUX,7331,Online,4876,255.28,159.42
111246287,6/9/2017,7/2/2017,M,CYP,8875,Offline,9103,421.89,364.69
111496055,4/28/2011,6/4/2011,M,BEL,4594,Online,3015,9.33,6.92
111893022,10/28/2016,12/2/2016,L,SVN,7331,Online,486,255.28,159.42
112330758,12/15/2016,1/11/2017,C,LTU,8681,Offline,22,651.21,524.96
113524663,10/29/2010,12/9/2010,L,RUS,8293,Online,3325,437.2,263.33
114954173,2/3/2010,2/11/2010,C,MLT,4594,Offline,6349,9.33,6.92
115363156,12/4/2015,1/10/2016,H,UKR,8681,Offline,7376,651.21,524.96
117929494,1/24/2015,3/2/2015,H,#N/A,4594,Offline,6813,9.33,6.92
118086564,2/19/2016,3/13/2016,M,NOR,8969,Online,3293,152.58,97.44
118659913,8/2/2014,8/17/2014,C,CZE,2103,Online,2960,205.7,117.11
118859469,6/2/2011,7/1/2011,L,#N/A,8969,Offline,2013,152.58,97.44
119935786,1/14/2015,1/27/2015,L,ROU,3127,Offline,519,81.73,56.67
120419871,5/13/2015,6/26/2015,H,LTU,3127,Online,3771,81.73,56.67
120977771,3/23/2011,5/2/2011,M,ARM,4594,Online,8866,9.33,6.92
121380746,11/21/2016,12/18/2016,C,MLT,4594,Online,8115,9.33,6.92
121945512,4/8/2017,4/12/2017,C,GBR,1270,Online,5242,47.45,31.79
122144210,4/27/2017,5/24/2017,C,MNE,1270,Offline,4041,47.45,31.79
122372519,1/10/2016,1/13/2016,L,PRT,1270,Offline,1603,47.45,31.79
122967326,3/24/2017,4/25/2017,H,BLR,1270,Online,7619,47.45,31.79
123086202,1/2/2014,2/20/2014,M,EST,7331,Offline,2797,255.28,159.42
123544108,5/13/2010,6/22/2010,M,AUT,2103,Online,8302,205.7,117.11
123938930,7/24/2012,8/2/2012,M,BLR,1270,Online,5138,47.45,31.79
125339686,7/11/2017,7/24/2017,L,MKD,8969,Online,9653,152.58,97.44
125349128,5/18/2012,6/6/2012,L,SMR,2103,Offline,2447,205.7,117.11
126948583,5/24/2017,7/9/2017,C,#N/A,7331,Online,5762,255.28,159.42
127694451,12/7/2011,12/27/2011,L,EST,5988,Offline,6481,154.06,90.93
127838218,9/20/2013,10/29/2013,C,NLD,4594,Offline,9024,9.33,6.92
128003442,9/9/2010,10/23/2010,L,CHE,7331,Online,7918,255.28,159.42
128686225,1/25/2011,3/13/2011,M,HUN,7331,Online,9968,255.28,159.42
128766906,2/13/2011,3/28/2011,C,#N/A,7940,Offline,3844,668.27,502.54
129127395,6/16/2013,6/20/2013,L,LVA,8681,Online,520,651.21,524.96
129169023,6/8/2012,7/18/2012,M,#N/A,1270,Offline,2839,47.45,31.79
129875409,4/19/2011,4/26/2011,L,LTU,3127,Offline,1875,81.73,56.67
129902875,3/21/2014,4/24/2014,C,BGR,7940,Online,2,668.27,502.54
130356919,9/18/2013,10/1/2013,H,CHE,5988,Online,4364,154.06,90.93
130754315,10/27/2013,11/2/2013,H,FRA,8681,Online,1962,651.21,524.96
131585586,3/13/2017,4/13/2017,C,FRA,3127,Offline,7954,81.73,56.67
132069671,7/9/2017,7/20/2017,M,AUT,3127,Online,1205,81.73,56.67
132603538,9/20/2012,11/6/2012,M,HUN,8293,Online,9188,437.2,263.33
133276450,1/27/2016,3/15/2016,H,#N/A,3127,Online,8318,81.73,56.67
134121024,2/28/2011,4/8/2011,L,EST,5988,Online,8246,154.06,90.93
134790503,4/2/2012,4/26/2012,M,ITA,2455,Online,6360,109.28,35.84
136624276,2/20/2016,3/8/2016,L,LVA,1270,Offline,9014,47.45,31.79
138025033,7/13/2013,8/3/2013,L,GBR,8969,Online,3529,152.58,97.44
138182103,8/9/2014,8/16/2014,C,NLD,8681,Online,10,651.21,524.96
138820683,7/9/2010,7/9/2010,L,RUS,2455,Offline,8980,109.28,35.84
139201343,8/27/2016,9/6/2016,H,IRL,8293,Offline,1625,437.2,263.33
139949357,7/1/2014,7/14/2014,H,#N/A,5988,Online,2980,154.06,90.93
140461766,7/8/2014,7/20/2014,C,UKR,8293,Online,4613,437.2,263.33
140499961,3/29/2011,4/30/2011,L,LVA,3127,Online,5915,81.73,56.67
141764247,7/15/2013,8/29/2013,H,AND,7331,Offline,46,255.28,159.42
141846215,7/18/2012,8/16/2012,H,GEO,2455,Online,4302,109.28,35.84
141875827,3/13/2011,4/16/2011,C,POL,7940,Online,3065,668.27,502.54
142375361,2/8/2014,2/19/2014,L,LIE,4594,Online,888,9.33,6.92
142987763,8/18/2013,9/1/2013,L,NLD,7940,Offline,2112,668.27,502.54
143414771,5/21/2012,6/3/2012,H,IRL,7940,Offline,8473,668.27,502.54
144282948,7/13/2013,8/1/2013,H,FIN,2103,Online,5386,205.7,117.11
144743001,3/12/2013,4/21/2013,M,SVN,7331,Offline,1525,255.28,159.42
144978606,1/6/2011,2/19/2011,C,IRL,8681,Online,1246,651.21,524.96
146349751,5/1/2017,6/13/2017,M,LTU,5988,Online,6999,154.06,90.93
146545875,11/27/2011,1/7/2012,M,SVK,8293,Offline,5036,437.2,263.33
147826898,9/29/2015,11/5/2015,M,BEL,8293,Online,4119,437.2,263.33
148894631,9/19/2013,9/25/2013,H,POL,8681,Online,85,651.21,524.96
149274003,4/29/2013,5/29/2013,C,NOR,7940,Offline,2350,668.27,502.54
150293242,5/19/2015,6/21/2015,H,#N/A,8681,Offline,3965,651.21,524.96
151312482,6/6/2017,7/12/2017,H,CZE,8293,Online,5581,437.2,263.33
152191388,5/18/2012,6/22/2012,L,ALB,7331,Offline,5669,255.28,159.42
152411115,1/4/2013,2/21/2013,H,SWE,8875,Online,691,421.89,364.69
152505099,5/7/2012,5/19/2012,M,SMR,2455,Offline,8503,109.28,35.84
152746713,5/2/2010,5/8/2010,C,BIH,8681,Offline,2,651.21,524.96
